county_id,action,expected_source,current_block_source,source_block_path,confidence,reason
c_lanarkshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_ayrshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_annandale,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_cumberland,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_lothian,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_dunbar,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_teviotdale,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_linlithgowshire,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_sutherland,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_caithness,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_moray,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_ross,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_inverness,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_brega,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_dublin,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_athlone,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_ulster,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_oriel,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_ailech,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_connacht,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_mayo,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_breifne,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_leinster,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_kildare,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_ossory,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_thomond,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_ennis,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_ormond,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_cork,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_desmond,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_wittenberg,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_brene,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_dessau,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_halberstadt,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_mansfeld,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_mersenburg,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_minden,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_stade,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_lippe,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_bremen,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_schaumburg,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_wolpe,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_oldenburg,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_osnabruck,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_arnsberg,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_bentheim,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_tecklenburg,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_munster,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_paderborn,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_ratzeburg,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_dannenberg,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_schwerin,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_luneburg,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_blankenburg,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_gottingen,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_hannover,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_hildesheim,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_brunswick,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_meissen,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_dresden,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_wolkenstein,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
c_osterland,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_naumburg,no_action,mod,mod_exact,,not_needed,current county block already matches expected source class
c_vogtland,no_action,mod,both_exact,,not_needed,current county block already matches expected source class
