"root","rewritten_count","fallback_count","removed_barony_count","removed_barony_sample"
"e_amur","130","0","0",""
"e_andong","321","0","0",""
"e_bengal","11","194","0",""
"e_qixi","99","0","0",""
"e_srivijaya","162","0","0",""
"e_tibet","285","34","4","b_maowun|b_sumshul|b_wunchoin|b_jagsam"
"e_wendish_empire","192","0","0",""
"e_xi_xia","61","16","36","b_dingyuanying|b_shunzhou|b_shapotou|b_tongwan_china|b_woyepo_china|b_ningshuo_china|b_changze_china|b_yinzhou_china|b_kaiguang_china|b_zhenxiang_china"
"e_yongliang","8","3","88","b_fengxiang_china|b_linyou_china|b_chencang_china|b_meixian_china|b_qishan_china|b_zhouzhi_china|b_longzhouqianyuan_china|b_qianyang_china|b_chencangxiadao_china|b_huazhou_china"
