"file","id","status","merged_count","oracle_count"
"building_locators.txt","12378","text_mismatch","1","1"
"building_locators.txt","10553","merged_only","1","0"
"building_locators.txt","10574","merged_only","1","0"
"building_locators.txt","12252","text_mismatch","1","1"
"building_locators.txt","10961","text_mismatch","1","1"
"building_locators.txt","8909","merged_only","1","0"
"building_locators.txt","10510","text_mismatch","1","1"
"building_locators.txt","9321","text_mismatch","1","1"
"building_locators.txt","8921","merged_only","1","0"
"building_locators.txt","8916","merged_only","1","0"
"building_locators.txt","11842","text_mismatch","1","1"
"building_locators.txt","12204","text_mismatch","1","1"
"building_locators.txt","10646","text_mismatch","1","1"
"building_locators.txt","13040","text_mismatch","1","1"
"building_locators.txt","8964","merged_only","1","0"
"building_locators.txt","12944","text_mismatch","1","1"
"building_locators.txt","13143","text_mismatch","1","1"
"building_locators.txt","12996","text_mismatch","1","1"
"building_locators.txt","8900","merged_only","1","0"
"building_locators.txt","11174","text_mismatch","1","1"
"building_locators.txt","11683","merged_only","1","0"
"building_locators.txt","10407","text_mismatch","1","1"
"building_locators.txt","10411","text_mismatch","1","1"
"building_locators.txt","12190","merged_only","1","0"
"building_locators.txt","10666","text_mismatch","1","1"
"building_locators.txt","10475","text_mismatch","1","1"
"building_locators.txt","12559","text_mismatch","1","1"
"building_locators.txt","10925","text_mismatch","1","1"
"building_locators.txt","9244","merged_only","1","0"
"building_locators.txt","8966","merged_only","1","0"
"building_locators.txt","11149","merged_only","1","0"
"building_locators.txt","12383","text_mismatch","1","1"
"building_locators.txt","12361","text_mismatch","1","1"
"building_locators.txt","12456","text_mismatch","1","1"
"building_locators.txt","10832","text_mismatch","1","1"
"building_locators.txt","13093","text_mismatch","1","1"
"building_locators.txt","11181","text_mismatch","1","1"
"building_locators.txt","12206","text_mismatch","1","1"
"building_locators.txt","8953","merged_only","1","0"
"building_locators.txt","11403","text_mismatch","1","1"
"building_locators.txt","11711","text_mismatch","1","1"
"building_locators.txt","8969","merged_only","1","0"
"building_locators.txt","9317","text_mismatch","1","1"
"building_locators.txt","12335","text_mismatch","1","1"
"building_locators.txt","9535","text_mismatch","1","1"
"building_locators.txt","12937","merged_only","1","0"
"building_locators.txt","11449","text_mismatch","1","1"
"building_locators.txt","8842","merged_only","1","0"
"building_locators.txt","11718","text_mismatch","1","1"
"building_locators.txt","12256","text_mismatch","1","1"
"building_locators.txt","12930","text_mismatch","1","1"
"building_locators.txt","11770","merged_only","1","0"
"building_locators.txt","10372","text_mismatch","1","1"
"building_locators.txt","13100","text_mismatch","1","1"
"building_locators.txt","8901","merged_only","1","0"
